month,day,au_price,ag_price,tvl,twatvl,ag_circulating,ag_minted_total,treasury_reserves,total_fees,total_burned,total_buybacks,staking_mult,staked_value,daily_volume,pid_integral,ag_emitted_today
0,0,0.00995887137972451,0.0991554819983424,496780.2467926276,499967.8024679263,100000.0,100000.0,6049.3995846653115,34.18556356431635,34.18556356431635,984.7859788990041,1.3,64.58143208304159,75967.9190318141,4500032.197532074,100000.0
1,30,0.011033547408580159,0.07985440023039002,443302.05290405033,484055.7196640559,3100000.0,3100000.0,5848.110136747824,784.9140448848495,784.9140448848495,1936.803908137022,2.5,3278.6689343648763,11090.242104141438,139728757.63337627,100000.0
2,60,0.012145628859455186,0.09064556421842968,447817.44922459876,475391.3714915947,6100000.0,6100000.0,5819.8515561181775,1704.0731594372317,1704.0731594372317,2884.221603319051,2.5,6651.313669872871,34473.06779673317,275380408.2222706,100000.0
3,90,0.012363475196464687,0.06107959461642026,376822.25720998185,450261.4339403154,9100000.0,9100000.0,5867.430260905414,2706.8149299532547,2706.8149299532547,3839.3846690478395,2.5,9497.019275973425,55224.23622169321,411509721.9802917,100000.0
4,120,0.011379751900457447,0.046532575037822176,263694.95848217723,414642.677687741,12100000.0,12100000.0,5895.130935903584,3694.188082889217,3694.188082889217,4799.057146985632,2.5,11863.512362821504,98787.15224262362,548517492.7638946,100000
5,150,0.012101713184680118,0.09216049052193924,328844.5737412696,386077.7103498724,15100000.0,15100000.0,5837.076608808929,4586.355529321596,4586.355529321596,5749.278920512667,2.5,14135.296030746054,87319.03289146349,686602426.3257473,100000.0
6,180,0.012191682024153756,0.07173688322804746,288094.381012186,359742.78040667996,18100000.0,18100000.0,5732.478203104163,5414.951249703554,5414.951249703554,6682.473046599392,2.5,16279.936461256173,116515.94591088242,825416706.5393308,100000.0
7,210,0.011451110596015807,0.09296711725599512,311654.7185720567,347845.7873762476,21100000.0,21100000.0,5802.953276849294,6430.093135959034,6430.093135959034,7627.139859109742,2.5,18637.883481135297,99292.58566376609,964807116.1498014,99999.99999999999
8,240,0.00928037560566422,0.06118958496810413,241324.39838609402,328092.43395559775,24100000.0,24100000.0,5729.50300252155,7289.35265273945,7289.35265273945,8559.849650217902,2.5,20685.207099016807,18329.624099128683,1104662239.689631,100000.0
9,270,0.007094373080583881,0.06307234408078775,270418.8399378657,311974.125927613,27100000.0,27100000.0,5393.8571831884865,7831.776607413814,7831.776607413814,9437.91942422533,2.5,22671.35176934507,33654.628522012004,1245121948.5135474,100000.0
10,300,0.005847813529372967,0.07247350979824917,298227.4767060084,307712.9739680945,30100000.0,30100000.0,5067.000418097369,8329.78037550134,8329.78037550134,10262.779957403973,2.5,24877.22064250943,26676.765835547238,1385876618.9768982,100000.0
11,330,0.007075103864671964,0.044885458902721394,195375.0204074283,293711.78384057846,33100000.0,33100000.0,4777.8240923249205,8818.38936708411,8818.38936708411,11040.565274759192,2.5,26805.583003617518,55869.842709387,1526777051.7098415,100000.0
12,360,0.006353042024022996,0.05005028180269341,226904.2221218523,273972.413758111,36100000.0,36100000.0,4516.220556468813,9291.984526467111,9291.984526467111,11775.763969998301,2.5,28432.150261028695,42473.5499979342,1668316585.0420322,100000.0
